source_product_id,source_product_name,source_category,product_id,product_name,brand_name,primary_category,price_usd,rating,similarity_score
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P421277,GENIUS Liquid Collagen Serum,Algenist,Skincare,115.0,4.0259,0.6311700373017748
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P500716,10 Day Results Kit,Algenist,Skincare,88.0,4.8023,0.6267679712464869
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P453818,GENIUS Collagen Calming Relief,Algenist,Skincare,58.0,4.464,0.5803570897876502
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P384537,GENIUS Ultimate Anti-Aging Cream,Algenist,Skincare,112.0,4.2525,0.5597842207086239
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P501190,Vitamin C Lactic Dewy Deep Cream,Dr. Dennis Gross Skincare,Skincare,75.0,4.8008,0.5549792132170184
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P404168,POWER Advanced Wrinkle Fighter Moisturizer,Algenist,Skincare,85.0,4.1818,0.5378751514336904
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P392945,GENIUS Ultimate Anti-Aging Vitamin C+ Serum,Algenist,Skincare,118.0,3.9825,0.5363521406250541
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P501213,Squalane + Retinol Night Serum,Biossance,Skincare,72.0,4.4742,0.5299315625265719
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P456990,Mini GENIUS Liquid Collagen,Algenist,Skincare,25.0,3.4412,0.5255367687811787
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P503814,Dynamic Skin Retinol Serum,Dermalogica,Skincare,92.0,4.8081,0.5236434997736967
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P432045,GENIUS Liquid Collagen Lip Treatment,Algenist,Skincare,29.0,3.8721,0.5191372234301193
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P388262,GENIUS Ultimate Anti-Aging Eye Cream,Algenist,Skincare,74.0,3.7759,0.5185767723950666
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P479313,Advanced Retinol + Ferulic Intense Wrinkle Cream,Dr. Dennis Gross Skincare,Skincare,77.0,4.695,0.5185579813141175
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P416552,POWER Recharging Night Pressed Serum,Algenist,Skincare,95.0,4.3854,0.5167453228882593
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P501166,Vitamin C Lactic Oil-Free Radiant Moisturizer,Dr. Dennis Gross Skincare,Skincare,72.0,4.6577,0.5164044206492192
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P503912,Firm + Bright + Glow Vitamin C Lactic Set,Dr. Dennis Gross Skincare,Skincare,85.0,3.4286,0.5159347357940203
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P296415,Overnight Restorative Cream,Algenist,Skincare,94.0,4.3808,0.5128476203727248
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P476683,Full Face Sculpt Kit - 14-Day Challenge,FaceGym,Skincare,75.0,4.4733,0.5113795003870149
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P480274,GENIUS Liquid Skin Resurfacing 2% BHA Toner,Algenist,Skincare,40.0,4.7939,0.5103153332852878
P439055,GENIUS Sleeping Collagen Moisturizer,Skincare,P379907,Advanced Anti-Aging Repairing Oil,Algenist,Skincare,82.0,4.4531,0.5097224482678349
