term,tfidf_5star,diff,category,tfidf_1star
love,0.028169683929473773,0.01739599965708978,5-star,
amazing,0.013647982703448393,0.011214435471913014,5-star,
great,0.016736401995665996,0.0103158638723382,5-star,
soft,0.011349581061186626,0.00978816659525227,5-star,
is,0.037386232949293705,0.009263428725204172,5-star,
love this,0.014321743442846792,0.008976359748463069,5-star,
smooth,0.010244859454301739,0.0084973964343572,5-star,
best,0.009024550434490792,0.007324664751071932,5-star,
my,0.056592064439579697,0.006929558879851819,5-star,
skin,0.045506094863496285,0.006928992805491502,5-star,
hydrated,0.008252415402865766,0.006884063091790649,5-star,
definitely,0.012108571181142851,0.006793984278817001,5-star,
has,0.016416665103890005,0.006786829190128824,5-star,
love it,0.008789942424407947,0.006773322508383202,5-star,
feels,0.012959433826257418,0.006603892669973089,5-star,
perfect,0.0070829467668839475,0.005939074178041461,5-star,
my skin,0.031203941073025623,0.005839723032618364,5-star,
the best,0.0069220552735970615,0.005810947259801199,5-star,
this is,0.016381210330938648,0.005806723678246041,5-star,
soft and,0.006114778025350249,0.005704227630819319,5-star,
and,,-0.05299964790235282,1-star,0.05299964790235282
this,,-0.048119524181476164,1-star,0.048119524181476164
not,,-0.014439285100301284,1-star,0.03207595205073767
was,,-0.010693577763166325,1-star,0.02846723511322367
did,,-0.010094499258641079,1-star,0.015911403787961444
didn,,-0.009658585273492296,1-star,0.015071001133895695
nothing,,-0.008996157308499862,1-star,0.011670741323109976
broke,,-0.008558802405917089,1-star,0.009104761731083514
out,,-0.00839391214282572,1-star,0.021620208190979442
me,,-0.008145081041895437,1-star,0.023785225597962374
money,,-0.008079556715124763,1-star,0.009967911619917716
wanted,,-0.007585390873360465,1-star,0.008987830237809045
disappointed,,-0.007146826131158767,1-star,0.008012306352042739
wanted to,,-0.007140313377143784,1-star,0.008164601254831571
had,,-0.007002491937707533,1-star,0.01567973156667795
bad,,-0.006792845692087463,1-star,0.009244869337197837
did not,,-0.006634650428585139,1-star,0.009031772747366443
work,,-0.006541082641312956,1-star,0.010363755937841836
waste,,-0.006406874108578998,1-star,0.006855245256677415
for me,,-0.006388333442191957,1-star,0.011518336075520877
